LogID,LogEvent,LogClass,LogDate,AccountID,BookingIDInserted,BookingIDEdited,BookingIDDeleted,AccountIDDeleted,AccountIDCreated
1,Login,LoginHandler,2015-06-23 11:02:09.603000000,10,-1,-1,-1,-1,10
2,Login,LoginHandler,2015-06-23 11:02:20.563000000,13,-1,-1,-1,-1,13
3,Remove Account,AccountHandler,2015-06-23 11:02:24.033000000,13,-1,-1,-1,-1,-1
4,Load Accounts,AccountHandler,2015-06-23 11:02:26.480000000,13,-1,-1,-1,-1,-1
5,View Activity,AccountHandler,2015-06-23 11:02:27.120000000,13,-1,-1,-1,-1,-1
6,View Activity,AccountHandler,2015-06-23 11:02:29.377000000,13,-1,-1,-1,-1,-1
7,View Activity,AccountHandler,2015-06-23 11:02:32.160000000,13,-1,-1,-1,-1,-1
8,View Activity,AccountHandler,2015-06-23 11:02:32.553000000,13,-1,-1,-1,-1,-1
9,View Activity,AccountHandler,2015-06-23 11:02:32.953000000,13,-1,-1,-1,-1,-1
10,View Activity,AccountHandler,2015-06-23 11:02:33.320000000,13,-1,-1,-1,-1,-1
11,View Activity,AccountHandler,2015-06-23 11:02:34.833000000,13,-1,-1,-1,-1,-1
12,View Activity,AccountHandler,2015-06-23 11:02:35.047000000,13,-1,-1,-1,-1,-1
13,Login,LoginHandler,2015-06-23 11:02:52.743000000,1,-1,-1,-1,-1,1
14,Login,LoginHandler,2015-06-23 11:04:28.533000000,1,-1,-1,-1,-1,1
15,Import,BookingHandler,2015-06-23 11:04:30.693000000,1,-1,-1,-1,-1,-1
16,Load,BookingHandler,2015-06-23 11:05:34.050000000,1,-1,-1,-1,-1,-1
17,Add,BookingHandler,2015-06-23 11:09:54.573000000,1,1546,-1,-1,-1,-1
18,Remove,BookingHandler,2015-06-23 11:10:16.847000000,1,-1,-1,1546,-1,-1
19,Load,BookingHandler,2015-06-23 11:10:18.580000000,1,-1,-1,-1,-1,-1
20,Login,LoginHandler,2015-06-23 11:12:02.757000000,1,-1,-1,-1,-1,1
21,Login,LoginHandler,2015-06-23 11:15:47.593000000,12,-1,-1,-1,-1,12
22,Today's,BookingHandler,2015-06-23 11:16:05.320000000,12,-1,-1,-1,-1,-1
23,Login,LoginHandler,2015-06-23 11:24:43.497000000,10,-1,-1,-1,-1,10
24,Add,BookingHandler,2015-06-23 11:24:56.703000000,10,1547,-1,-1,-1,-1
25,Add,BookingHandler,2015-06-23 11:25:57.313000000,10,1548,-1,-1,-1,-1
26,Edit,BookingHandler,2015-06-23 11:27:07.333000000,10,-1,-1,-1,-1,-1
27,View Activity,AccountHandler,2015-06-23 11:27:27.860000000,10,-1,-1,-1,-1,-1
28,View Activity,AccountHandler,2015-06-23 11:27:30.203000000,10,-1,-1,-1,-1,-1
29,View Activity,AccountHandler,2015-06-23 11:27:31.997000000,10,-1,-1,-1,-1,-1
30,View Activity,AccountHandler,2015-06-23 11:27:34.677000000,10,-1,-1,-1,-1,-1
31,View Activity,AccountHandler,2015-06-23 11:27:36.620000000,10,-1,-1,-1,-1,-1
32,View Activity,AccountHandler,2015-06-23 11:27:38.693000000,10,-1,-1,-1,-1,-1
33,View Activity,AccountHandler,2015-06-23 11:27:41.117000000,10,-1,-1,-1,-1,-1
34,Login,LoginHandler,2015-06-23 11:33:49.887000000,10,-1,-1,-1,-1,10
35,Load,BookingHandler,2015-06-23 12:15:23.980000000,1,-1,-1,-1,-1,-1
36,Load,BookingHandler,2015-06-23 12:26:34.867000000,10,-1,-1,-1,-1,-1
37,View Activity,AccountHandler,2015-06-23 12:32:22.750000000,10,-1,-1,-1,-1,-1
38,View Activity,AccountHandler,2015-06-23 12:32:27.823000000,10,-1,-1,-1,-1,-1
39,View Activity,AccountHandler,2015-06-23 12:32:29.583000000,10,-1,-1,-1,-1,-1
40,Login,LoginHandler,2015-06-23 12:40:31.333000000,13,-1,-1,-1,-1,13
41,Load,BookingHandler,2015-06-23 12:56:22.340000000,1,-1,-1,-1,-1,-1
42,Load,BookingHandler,2015-06-23 12:56:43.323000000,1,-1,-1,-1,-1,-1
43,Load,BookingHandler,2015-06-23 13:03:46.193000000,1,-1,-1,-1,-1,-1
44,Load,BookingHandler,2015-06-23 13:03:46.530000000,1,-1,-1,-1,-1,-1
45,Load,BookingHandler,2015-06-23 13:03:46.897000000,1,-1,-1,-1,-1,-1
46,Load,BookingHandler,2015-06-23 13:11:26.513000000,1,-1,-1,-1,-1,-1
47,Login,LoginHandler,2015-06-23 13:13:56.053000000,1,-1,-1,-1,-1,1
48,Login,LoginHandler,2015-06-23 13:31:35.317000000,1,-1,-1,-1,-1,1
49,Load,BookingHandler,2015-06-23 13:31:37.993000000,1,-1,-1,-1,-1,-1
50,Login,LoginHandler,2015-06-23 13:34:14.797000000,1,-1,-1,-1,-1,1
51,Load,BookingHandler,2015-06-23 13:35:14.043000000,1,-1,-1,-1,-1,-1
52,Login,LoginHandler,2015-06-23 13:50:17.970000000,1,-1,-1,-1,-1,1
53,Login,LoginHandler,2015-06-23 14:13:11.810000000,1,-1,-1,-1,-1,1
54,Add,BookingHandler,2015-06-23 14:13:15.463000000,1,1549,-1,-1,-1,-1
55,Add,BookingHandler,2015-06-23 14:15:09.213000000,1,1550,-1,-1,-1,-1
56,Load,BookingHandler,2015-06-23 14:15:23.947000000,1,-1,-1,-1,-1,-1
57,View Activity,AccountHandler,2015-06-23 14:16:06.183000000,1,-1,-1,-1,-1,-1
58,View Activity,AccountHandler,2015-06-23 14:16:09.950000000,1,-1,-1,-1,-1,-1
59,View Activity,AccountHandler,2015-06-23 14:16:18.053000000,1,-1,-1,-1,-1,-1
60,View Activity,AccountHandler,2015-06-23 14:16:21.237000000,1,-1,-1,-1,-1,-1
61,Load,BookingHandler,2015-06-23 14:16:54.963000000,1,-1,-1,-1,-1,-1
62,Remove,BookingHandler,2015-06-23 14:16:57.257000000,1,-1,-1,1434,-1,-1
63,Load,BookingHandler,2015-06-23 14:17:05.497000000,1,-1,-1,-1,-1,-1
64,Load,BookingHandler,2015-06-23 14:35:16.123000000,1,-1,-1,-1,-1,-1
65,Add,BookingHandler,2015-06-23 14:35:23.347000000,1,1551,-1,-1,-1,-1
66,Add,BookingHandler,2015-06-23 14:39:02.207000000,1,1552,-1,-1,-1,-1
67,Login,LoginHandler,2015-06-23 15:08:37.643000000,12,-1,-1,-1,-1,12
68,Load,BookingHandler,2015-06-23 15:08:42.647000000,12,-1,-1,-1,-1,-1
69,Tomorrows,BookingHandler,2015-06-23 15:09:42.027000000,12,-1,-1,-1,-1,-1
70,Today's,BookingHandler,2015-06-23 15:09:45.083000000,12,-1,-1,-1,-1,-1
71,Load,BookingHandler,2015-06-23 15:09:53.447000000,12,-1,-1,-1,-1,-1
72,Change Password,AccountHandler,2015-06-23 15:10:01.363000000,12,-1,-1,-1,-1,-1
73,Change Password,AccountHandler,2015-06-23 15:10:08.270000000,12,-1,-1,-1,-1,-1
74,Change Password,AccountHandler,2015-06-23 15:10:09.483000000,12,-1,-1,-1,-1,-1
75,Load,BookingHandler,2015-06-23 15:25:13.833000000,1,-1,-1,-1,-1,-1
76,Complete,BookingHandler,2015-06-23 15:25:17.343000000,1,-1,1431,-1,-1,-1
77,Load,BookingHandler,2015-06-23 15:25:18.990000000,1,-1,-1,-1,-1,-1
78,Load,BookingHandler,2015-06-23 15:47:43.887000000,1,-1,-1,-1,-1,-1
79,Edit,BookingHandler,2015-06-23 15:50:34.007000000,1,-1,1435,-1,-1,-1
80,Edit,BookingHandler,2015-06-23 15:50:44.767000000,1,-1,1432,-1,-1,-1
81,Edit,BookingHandler,2015-06-23 15:50:50.260000000,1,-1,-1,-1,-1,-1
82,Load,BookingHandler,2015-06-23 15:50:55.220000000,1,-1,-1,-1,-1,-1
83,Edit,BookingHandler,2015-06-23 15:51:01.300000000,1,-1,1446,-1,-1,-1
84,Edit,BookingHandler,2015-06-23 15:51:12.050000000,1,-1,1453,-1,-1,-1
85,Edit,BookingHandler,2015-06-23 15:52:04.020000000,1,-1,1462,-1,-1,-1
86,Load,BookingHandler,2015-06-23 15:57:11.253000000,1,-1,-1,-1,-1,-1
87,View Activity,AccountHandler,2015-06-23 16:13:53.167000000,10,-1,-1,-1,-1,-1
88,View Activity,AccountHandler,2015-06-23 16:13:53.980000000,10,-1,-1,-1,-1,-1
89,View Activity,AccountHandler,2015-06-23 16:13:55.197000000,10,-1,-1,-1,-1,-1
90,View Activity,AccountHandler,2015-06-23 16:13:55.540000000,10,-1,-1,-1,-1,-1
91,View Activity,AccountHandler,2015-06-23 16:13:55.700000000,10,-1,-1,-1,-1,-1
92,View Activity,AccountHandler,2015-06-23 16:13:55.840000000,10,-1,-1,-1,-1,-1
93,View Activity,AccountHandler,2015-06-23 16:13:55.987000000,10,-1,-1,-1,-1,-1
94,View Activity,AccountHandler,2015-06-23 16:13:56.140000000,10,-1,-1,-1,-1,-1
95,View Activity,AccountHandler,2015-06-23 16:13:56.293000000,10,-1,-1,-1,-1,-1
96,View Activity,AccountHandler,2015-06-23 16:13:56.437000000,10,-1,-1,-1,-1,-1
97,View Activity,AccountHandler,2015-06-23 16:13:56.580000000,10,-1,-1,-1,-1,-1
98,View Activity,AccountHandler,2015-06-23 16:13:56.733000000,10,-1,-1,-1,-1,-1
99,View Activity,AccountHandler,2015-06-23 16:13:56.900000000,10,-1,-1,-1,-1,-1
100,View Activity,AccountHandler,2015-06-23 16:13:57.090000000,10,-1,-1,-1,-1,-1
101,View Activity,AccountHandler,2015-06-23 16:13:57.203000000,10,-1,-1,-1,-1,-1
102,View Activity,AccountHandler,2015-06-23 16:13:57.347000000,10,-1,-1,-1,-1,-1
103,View Activity,AccountHandler,2015-06-23 16:13:57.500000000,10,-1,-1,-1,-1,-1
104,View Activity,AccountHandler,2015-06-23 16:13:57.660000000,10,-1,-1,-1,-1,-1
105,View Activity,AccountHandler,2015-06-23 16:13:57.813000000,10,-1,-1,-1,-1,-1
106,View Activity,AccountHandler,2015-06-23 16:13:57.973000000,10,-1,-1,-1,-1,-1
107,View Activity,AccountHandler,2015-06-23 16:13:58.117000000,10,-1,-1,-1,-1,-1
108,View Activity,AccountHandler,2015-06-23 16:13:58.620000000,10,-1,-1,-1,-1,-1
109,View Activity,AccountHandler,2015-06-23 16:13:58.787000000,10,-1,-1,-1,-1,-1
110,View Activity,AccountHandler,2015-06-23 16:13:58.947000000,10,-1,-1,-1,-1,-1
111,View Activity,AccountHandler,2015-06-23 16:13:59.100000000,10,-1,-1,-1,-1,-1
112,View Activity,AccountHandler,2015-06-23 16:13:59.267000000,10,-1,-1,-1,-1,-1
113,View Activity,AccountHandler,2015-06-23 16:13:59.413000000,10,-1,-1,-1,-1,-1
114,View Activity,AccountHandler,2015-06-23 16:13:59.563000000,10,-1,-1,-1,-1,-1
115,View Activity,AccountHandler,2015-06-23 16:13:59.723000000,10,-1,-1,-1,-1,-1
116,View Activity,AccountHandler,2015-06-23 16:13:59.883000000,10,-1,-1,-1,-1,-1
117,View Activity,AccountHandler,2015-06-23 16:14:00.060000000,10,-1,-1,-1,-1,-1
118,View Activity,AccountHandler,2015-06-23 16:14:01.233000000,10,-1,-1,-1,-1,-1
119,View Activity,AccountHandler,2015-06-23 16:14:01.797000000,10,-1,-1,-1,-1,-1
120,View Activity,AccountHandler,2015-06-23 16:14:01.917000000,10,-1,-1,-1,-1,-1
121,View Activity,AccountHandler,2015-06-23 16:14:02.053000000,10,-1,-1,-1,-1,-1
122,View Activity,AccountHandler,2015-06-23 16:14:02.137000000,10,-1,-1,-1,-1,-1
123,View Activity,AccountHandler,2015-06-23 16:14:02.243000000,10,-1,-1,-1,-1,-1
124,View Activity,AccountHandler,2015-06-23 16:14:02.367000000,10,-1,-1,-1,-1,-1
125,View Activity,AccountHandler,2015-06-23 16:14:02.450000000,10,-1,-1,-1,-1,-1
126,View Activity,AccountHandler,2015-06-23 16:14:02.560000000,10,-1,-1,-1,-1,-1
127,View Activity,AccountHandler,2015-06-23 16:14:02.663000000,10,-1,-1,-1,-1,-1
128,View Activity,AccountHandler,2015-06-23 16:14:02.803000000,10,-1,-1,-1,-1,-1
129,View Activity,AccountHandler,2015-06-23 16:14:02.930000000,10,-1,-1,-1,-1,-1
130,View Activity,AccountHandler,2015-06-23 16:14:03.060000000,10,-1,-1,-1,-1,-1
131,View Activity,AccountHandler,2015-06-23 16:14:03.187000000,10,-1,-1,-1,-1,-1
132,View Activity,AccountHandler,2015-06-23 16:14:15.407000000,10,-1,-1,-1,-1,-1
133,View Activity,AccountHandler,2015-06-23 16:14:15.693000000,10,-1,-1,-1,-1,-1
134,View Activity,AccountHandler,2015-06-23 16:14:20.950000000,10,-1,-1,-1,-1,-1
135,View Activity,AccountHandler,2015-06-23 16:14:21.220000000,10,-1,-1,-1,-1,-1
136,View Activity,AccountHandler,2015-06-23 16:14:21.990000000,10,-1,-1,-1,-1,-1
137,View Activity,AccountHandler,2015-06-23 16:14:22.173000000,10,-1,-1,-1,-1,-1
138,View Activity,AccountHandler,2015-06-23 16:14:24.573000000,10,-1,-1,-1,-1,-1
139,View Activity,AccountHandler,2015-06-23 16:14:24.773000000,10,-1,-1,-1,-1,-1
140,View Activity,AccountHandler,2015-06-23 16:14:25.223000000,10,-1,-1,-1,-1,-1
141,View Activity,AccountHandler,2015-06-23 16:14:27.013000000,10,-1,-1,-1,-1,-1
142,Complete,BookingHandler,2015-06-23 16:14:41.840000000,10,-1,1430,-1,-1,-1
143,Login,LoginHandler,2015-06-24 08:43:04.407000000,1,-1,-1,-1,-1,1
144,Load,BookingHandler,2015-06-24 08:43:09.060000000,1,-1,-1,-1,-1,-1
145,Complete,BookingHandler,2015-06-24 08:43:15.700000000,1,-1,1432,-1,-1,-1
146,Load,BookingHandler,2015-06-24 08:43:17.610000000,1,-1,-1,-1,-1,-1
147,Login,LoginHandler,2015-06-24 08:43:23.177000000,10,-1,-1,-1,-1,10
148,Add,BookingHandler,2015-06-24 08:43:48.560000000,1,1553,-1,-1,-1,-1
149,Load,BookingHandler,2015-06-24 08:44:21.317000000,1,-1,-1,-1,-1,-1
150,View Activity,AccountHandler,2015-06-24 08:44:37.867000000,1,-1,-1,-1,-1,-1
151,View Activity,AccountHandler,2015-06-24 08:44:46.913000000,1,-1,-1,-1,-1,-1
152,Today's,BookingHandler,2015-06-24 08:45:27.600000000,10,-1,-1,-1,-1,-1
153,Tomorrows,BookingHandler,2015-06-24 08:45:30.537000000,10,-1,-1,-1,-1,-1
154,Load,BookingHandler,2015-06-24 08:45:35.343000000,10,-1,-1,-1,-1,-1
155,Login,LoginHandler,2015-06-24 08:47:41.747000000,1,-1,-1,-1,-1,1
156,Change Password,AccountHandler,2015-06-24 08:47:45,1,-1,-1,-1,-1,-1
157,Change Password,AccountHandler,2015-06-24 08:47:50.487000000,1,-1,-1,-1,-1,-1
158,Change Password,AccountHandler,2015-06-24 08:47:52.367000000,1,-1,-1,-1,-1,-1
159,Login,LoginHandler,2015-06-24 08:48:16.933000000,1,-1,-1,-1,-1,1
160,Change Password,AccountHandler,2015-06-24 08:48:20.367000000,1,-1,-1,-1,-1,-1
161,Change Password,AccountHandler,2015-06-24 08:48:24.700000000,1,-1,-1,-1,-1,-1
162,Change Password,AccountHandler,2015-06-24 08:48:27.043000000,1,-1,-1,-1,-1,-1
163,Login,LoginHandler,2015-06-24 08:48:43.050000000,11,-1,-1,-1,-1,11
164,Change Password,AccountHandler,2015-06-24 08:48:53.697000000,11,-1,-1,-1,-1,-1
165,Change Password,AccountHandler,2015-06-24 08:48:55.787000000,11,-1,-1,-1,-1,-1
166,Change Password,AccountHandler,2015-06-24 08:48:58.233000000,11,-1,-1,-1,-1,-1
167,Change Password,AccountHandler,2015-06-24 08:49:00.267000000,11,-1,-1,-1,-1,-1
168,Login,LoginHandler,2015-06-24 08:51:08.517000000,1,-1,-1,-1,-1,1
169,Load,BookingHandler,2015-06-24 08:51:23.193000000,1,-1,-1,-1,-1,-1
170,Login,LoginHandler,2015-06-24 08:51:39.843000000,1,-1,-1,-1,-1,1
171,Login,LoginHandler,2015-06-24 08:52:34.877000000,1,-1,-1,-1,-1,1
172,Login,LoginHandler,2015-06-24 08:54:31.537000000,1,-1,-1,-1,-1,1
173,Change Password,AccountHandler,2015-06-24 08:54:34.897000000,1,-1,-1,-1,-1,-1
174,Change Password,AccountHandler,2015-06-24 08:54:46.717000000,1,-1,-1,-1,-1,-1
175,Change Password,AccountHandler,2015-06-24 08:54:51.423000000,1,-1,-1,-1,-1,-1
176,Change Password,AccountHandler,2015-06-24 08:55:06.420000000,1,-1,-1,-1,-1,-1
177,Change Password,AccountHandler,2015-06-24 08:55:09.883000000,1,-1,-1,-1,-1,-1
178,Login,LoginHandler,2015-06-24 09:04:02.103000000,1,-1,-1,-1,-1,1
179,Load,BookingHandler,2015-06-24 09:04:03.647000000,1,-1,-1,-1,-1,-1
180,Load,BookingHandler,2015-06-24 09:25:21.710000000,1,-1,-1,-1,-1,-1
181,Login,LoginHandler,2015-06-24 10:17:56.570000000,1,-1,-1,-1,-1,1
182,Login,LoginHandler,2015-06-24 10:19:28.137000000,1,-1,-1,-1,-1,1
183,Login,LoginHandler,2015-06-24 10:21:08.513000000,11,-1,-1,-1,-1,11
184,Login,LoginHandler,2015-06-24 10:23:12.463000000,11,-1,-1,-1,-1,11
185,Add,BookingHandler,2015-06-24 10:23:23.547000000,11,-1,-1,-1,-1,-1
186,Edit,BookingHandler,2015-06-24 10:24:29.087000000,11,-1,-1,-1,-1,-1
187,Edit,BookingHandler,2015-06-24 10:24:32.140000000,11,-1,-1,-1,-1,-1
188,Edit,BookingHandler,2015-06-24 10:24:35.037000000,11,-1,-1,-1,-1,-1
189,Complete,BookingHandler,2015-06-24 12:10:40.167000000,10,-1,1551,-1,-1,-1
190,Complete,BookingHandler,2015-06-24 12:10:40.167000000,10,-1,1435,-1,-1,-1
191,Complete,BookingHandler,2015-06-24 12:10:40.167000000,10,-1,1553,-1,-1,-1
192,Login,LoginHandler,2015-06-24 13:11:48.380000000,1,-1,-1,-1,-1,1
193,Add Account,AccountHandler,2015-06-24 13:12:47.897000000,1,-1,-1,-1,-1,14
